,# YTID, start_seconds, end_seconds, positive_labels,label_count,label_names
0,--4gqARaEJE,0.0,10.0,"/m/068hy,/m/07q6cd_,/m/0bt9lr,/m/0jbk",4,"Domestic animals, pets|Squeak|Dog|Animal"
1,--BfvyPmVMo,20.0,30.0,/m/03l9g,1,Hammer
2,--U7joUcTCo,0.0,10.0,/m/01b_21,1,Cough
3,--i-y1v8Hy8,0.0,9.0,"/m/04rlf,/m/09x0r,/t/dd00004,/t/dd00005",4,Music|Speech|Female singing|Child singing
4,-0BIyqJj9ZU,30.0,40.0,"/m/07rgt08,/m/07sq110,/t/dd00001",3,"Chuckle, chortle|Belly laugh|Baby laughter"
5,-0CamVQdP_Y,0.0,6.0,"/m/04rlf,/m/07pbtc8,/m/09x0r",3,"Music|Walk, footsteps|Speech"
6,-0Gj8-vB1q4,30.0,40.0,"/m/0140xf,/m/02cjck,/m/04rlf",3,Christmas music|Theme music|Music
7,-0RWZT-miFs,420.0,430.0,"/m/03v3yw,/m/0k4j",2,Keys jangling|Car
8,-0YUDn-1yII,30.0,40.0,"/m/02cjck,/m/04rlf",2,Theme music|Music
9,-0jeONf82dE,21.0,31.0,"/m/03k3r,/m/04rlf,/m/07q5rw0,/m/09x0r,/m/0jbk",5,"Horse|Music|Neigh, whinny|Speech|Animal"
10,-0nqfRcnAYE,370.0,380.0,/m/04brg2,1,"Dishes, pots, and pans"
11,-0p7hKXZ1ww,30.0,40.0,"/g/122z_qxw,/m/09x0r",2,Firecracker|Speech
12,-0vPFx-wRRI,30.0,40.0,"/m/025_jnm,/m/04rlf",2,Finger snapping|Music
13,-0xzrMun0Rs,30.0,40.0,"/m/01g90h,/m/04rlf",2,Stomach rumble|Music
14,-0yRK50zyTI,30.0,40.0,"/m/07pzfmf,/m/09x0r",2,Crackle|Speech
15,-116CjQ3MAg,160.0,170.0,"/m/015p6,/m/0chx_,/t/dd00128",3,"Bird|White noise|Outside, urban or manmade"
16,-1EXhfqLLwQ,150.0,160.0,"/m/03dnzn,/m/068hy,/m/07p7b8y,/m/07ptzwd,/m/0838f,/m/0jbk,/t/dd00088",7,"Bathtub (filling or washing)|Domestic animals, pets|Fill (with liquid)|Pump (liquid)|Water|Animal|Gush"
17,-1Hub6Ps_cc,10.0,20.0,"/m/0130jx,/m/02jz0l,/m/09x0r,/m/0k65p,/t/dd00125",5,"Sink (filling or washing)|Water tap, faucet|Speech|Hands|Inside, small room"
18,-1II0Di9Hkc,30.0,40.0,"/m/04rlf,/m/06bz3",2,Music|Radio
19,-1LQP2wemiQ,30.0,40.0,"/m/02fs_r,/m/02zsn,/m/09x0r",3,"Beep, bleep|Female speech, woman speaking|Speech"
20,-1OlgJWehn8,30.0,40.0,"/m/04rlf,/m/06bz3",2,Music|Radio
21,-1PZQg5Gi8A,30.0,40.0,/m/07pjjrj,1,"Smash, crash"
22,-1UWSisR2zo,30.0,40.0,"/m/04rlf,/m/0xzly",2,Music|Maraca
23,-1hDIl9Udkw,30.0,40.0,"/m/04rlf,/m/07qn4z3,/m/09x0r",3,Music|Rattle|Speech
24,-1nilez17Dg,30.0,40.0,"/m/01jg1z,/m/09x0r",2,Heart murmur|Speech
25,-1pPw9zZopA,190.0,200.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
26,-1pRmoJIGQc,10.0,20.0,"/m/01h82_,/m/02mk9,/m/07pb8fc",3,Engine knocking|Engine|Idling
27,-21_SXelVNo,30.0,40.0,"/m/07ppn3j,/m/09x0r",2,Sniff|Speech
28,-22tna7KHzI,28.0,38.0,/m/014zdl,1,Explosion
29,-23CeprtibU,30.0,40.0,/m/01j4z9,1,Chainsaw
30,-2EKWgTNEYU,30.0,40.0,/m/06bz3,1,Radio
31,-2RPPODqLy4,30.0,40.0,"/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r,/m/0fx80y",7,Tapping (guitar technique)|Guitar|Acoustic guitar|Music|Strum|Speech|Plucked string instrument
